14963
a	a.一,一个,一只,一件.
depreciation	n.价值减低,减价,跌落[计算机]折旧
depress	v.使...沮丧,压低[计算机]降低
depression	n.沮丧,萧条
deprive	v.剥夺
depth	n.深度
deputy	a.代理的,副的n.代表
dequeue	离队,出列
derail	v.使出轨v.出轨
derelict	a.被抛弃了的,无主的,玩忽职守的n.遗弃物,被遗弃的人,玩忽职守者
derivation	n.引出,诱导,来历
derive	v.得自,起源,引申于
descend	v.降,传
descendant	n.子孙,后代
descended	a.为...后裔的,出身于...的
descent	n.降落,家系,侵袭
describe	v.描述
description	n.描写,描述,说明书,作图
descriptor	描述符
descry	v.看出,看见,察看
desert	n.沙漠v.放弃,遗弃
deserve	vi.应该得到vt.应受,值得
deserving	a.应得的,值得的(of)
design	n.设计,图样v.设计,计划
designate	v.指定,标示
designated	指定的,特指的
designation	n.指示,指定,指名
desirable	a.令人想要的[计算机]希望的
desire	n.愿望,欲望,情欲v.向往,要求,请求vt.渴望
desired	a.渴望的,想得到的
desk	n.书桌
desktop	[计算机]桌面
desolate	a.荒凉的
despair	n.绝望,失望
despatch	v.派遣
desperate	a.不顾一切的,绝望的
despise	v.轻视
despite	prep.不管,尽管v.憎恨，轻视
dessert	n.甜食
destination	n.目的地,终点
destine	v.注定
destiny	n.命运
destroy	v.破坏,毁坏[计算机]撤消
destruction	n.破坏,毁灭
destructive	a.破坏性的
detach	v.分离[计算机]脱离
detached	a.超然的,分离的v.分离vbl.分离
detachment	n.分离,分遣,分遣队
detail	n.细节,详情vt.详述，详细说明
detailed	a.详细的
details	n.详细资料
detain	v.扣留,扣押
detect	v.发现[计算机]检测
detectable	a.可发现的(可察觉的,可探测出的,可检波的)
detection	n.察觉,发觉,侦查,探测
detective	a.侦探的n.侦探
detector	n.探测器
detent	制动器
deter	v.制止,使...断念
detergent	n.清洁剂
deteriorate	v.恶化
determinant	n.行列式(决定因素)a.决定性的
determination	n.决心
determine	v.决定,决心要[计算机]确定
determined	a.坚决的
detest	v.厌恶
detoxify	v.除去...的毒物
detriment	名损害;损伤[的原因]
detrimental	a.有害的
devalue	v.&n.贬值
devastate	v.毁坏
devastating	a.破坏性的,全然的
develop	v.发展,发达,进步,开发,冲洗照片
developer	n.开发者
developing	a.发展中的
development	n.发展,显影
deviate	v.脱离,出轨
deviation	n.偏差(偏差数)
device	n.装置,设计,策略,设备
devil	n.魔鬼,恶魔
devise	v.设计
devote	v.投入于,献身
devotion	n.献身,忠诚
devour	v.吞食
dew	n.露水
diabetes	n.糖尿病
diacritic	发音符号的,可区别的
diacritical	可区分的
diaeresis	分音符
diagnose	v.诊断vi.判断,诊断(疾病)vt.诊断(疾病)
diagnosis	n.诊断
diagnostic	a.特征的,诊断的
diagnostics	诊断学
diagonal	a.对角线的,斜的,斜纹的n.对角线,斜线,斜列
diagonally	斜(对)地,对角地
diagram	n.图解,图表v.用图解法表示
dial	n.刻度盘,针面,转盘v.拨[计算机]拨号
dialect	n.方言
dialing	拨号,呼叫
dialog	n.对话,对白
dialogue	n.对话
dialysis	n.透析
diameter	n.直径
diamond	n.钻石
diaphragm	n.横隔膜,控光装置
diary	n.日记,日记簿
dictate	v.听写,口述,口授n.命令,指挥,指令
dictation	n.听写
dictator	n.独裁者
dictionary	n.词典,字典,辞典
die	n.金属模子,印模v.死n.骰子（一个小的正六面体）
diesel	n.柴油机,内燃机
diet	n.日常饮食v.照规定饮食
differ	v.不一致,不同
difference	n.不同,差异
different	a.不同的
differentiate	v.区别,差别
difficult	a.困难的
difficulty	n.困难
diffuse	v.散播
dig	v.挖,翻土
digest	消化
digestion	n.消化
digestive	a.消化的
digit	n.数字,位数,指头
digital	a.数字的
digitalis	n.洋地黄,毛地黄
digitize	vt.数字化
dignity	n.尊严
dike	n.堤防
dilapidated	a.毁坏的,荒废的,要塌似的
dilate	v.扩大,详述
dilemma	n.困境,进退两难
diligent	a.勤奋的,用功的
dilute	v.冲淡,稀释
dim	adj.暗淡的,模糊的vt.使暗淡,使失去光泽n.<美俚>笨蛋、傻子
dime	n.一角硬币
dimension	n.尺寸,次元,容积,维度
dimensional	a.空间的
dimensionality	维数,度数
diminish	v.减少,变小
dimmed	暗淡的,无效的
din	n.喧嚣v.絮聒不休地说,暄闹
dine	v.用正餐,进餐
dingy	a.昏暗的(微黑的)n.小船
dinner	n.主餐,晚餐,晚宴
dint	n.凹痕vt打出凹痕
diode	二极管
dioxide	n.二氧化物
dip	蘸;下沉;倾斜;汲出;舀取;翻阅;涉猎
diphtheria	n.白喉
diphthong	连元音字,双重元音,双元音字
diploma	n.文凭
diplomacy	n.外交
diplomat	a.外交官,外交家n.外交家
diplomatic	a.外交的
dipping	(可)调,浸渍(法)
direct	a.笔直的,直接的,坦白的v.指示,指挥,命令
direction	n.方向,指导,用法说明
directive	a.指导的,指挥的,管理的n.指令[计算机]指令
directly	ad.直接地(立即,完全)
director	n.董事,经理,主管,指导者,导演
directory	n.目录,工商名录,指南[计算机]目录
dirt	n.污垢,泥土
dirty	a.肮脏的
disability	n.无力,无能,残疾
disable	v.使...失去能力
disabled	a.残废的n.残疾人
disadvantage	n.不利,不利条件,损害,损失
disadvantageous	a.不利的
disagree	v.不一致,不适宜
disagreement	n.不合,争论,不一致
disallow	v.不许,不准,驳回
disappear	v.消失
disappearance	n.消失
disappoint	v.使...失望
disappointed	a.失望的
disappointment	n.失望
disapproval	n.不赞成
disapprove	v.不赞成
disarm	v.解除武装,回复平常的编制,缓和
disarray	v.弄乱,使混乱,使脱去衣服n.无秩序,杂乱,不整齐的衣服
disassemble	v.解开,分解[计算机]反汇编
disaster	n.灾难
disastrous	a.灾难性的
disburse	vt.支付
disbursement	n.支付,支出
disc	n.断开(折扣,发现的,发现者,鉴别器)
discard	n.丢弃,扔掉v.丢弃,抛弃
discarded	放弃的,删除的
discern	v.辨别,看清楚
discharge	v.卸下,放出,解雇,放电,解除
disciplinary	a.训练的,规律的,训戒的
discipline	n.训练,纪律,惩罚v.训练,惩罚
disclaim	v.放弃,弃权,拒绝
disclose	v.揭露
disco	n.迪斯科舞厅
discolor	vt.使...变色(或褪色)
discomfort	n.不便之处,不适
disconnect	v.断开vt.拆开,分开
disconnection	n.断开
discontinue	v.搁下,中止,停止
discord	n.不调和
discotheque	n.唱片舞会,迪斯科舞（厅）
discount	n.折扣,贴现率v.打折扣,贴现
discourage	v.使气馁,阻碍
discourse	n.演讲vi.讲述,著述
discover	v.发现
discovery	n.发现,发现物
discreet	a.谨慎的
discreetly	ad.谨慎地,小心地
discrepancy	n.相差,差异,差别
discrete	a.不连续的离散的[计算机]分离离散
discretion	n.慎重,辨别力,考虑[计算机]判定
discriminant	判别式
discriminate	v.区别,差别待遇
discrimination	n.歧视
discriminator	鉴别器
discuss	v.讨论
discussion	n.讨论v.讨论,商议
disdain	n.轻蔑v.蔑视
disease	n.疾病
diseased	a.害病的,病态的,不健全的
disgrace	n.耻辱,不名誉v.耻辱,使...失体面
disgraceful	a.可耻的,不名誉的
disguise	n.假面目,假装v.假装
disgust	n.厌恶,嫌恶v.令人厌恶
disgustful	a.令人生厌的
dish	n.盘子vt.上菜n.一样菜，一道菜
dishonest	a.不诚实的
dishonor	n.不名誉v.玷辱,使...蒙羞
dishonorable	a.不名誉的
disillusion	n.觉醒,幻减v.醒悟,使幻想破减
disinclined	a.不愿的,不想的
disinfect	v.消毒
disinfectant	a.消毒的n.消毒剂
disinflation	n.反通货膨胀
disintegration	n.瓦解
disjunction	析取,分离,分裂
disk	n.磁盘片[计算机]磁盘
diskette	软盘
dislike	v.不喜欢,厌恶vt.&n.不喜爱,厌恶
dislikes	vt.不喜欢
dislocate	v.脱臼,弄乱
disloyal	a.不忠的
disloyalty	a.不忠n.不忠实
dismal	a.阴沉的,凄凉的,暗的
dismay	n.沮丧v.使...灰心,使...害怕
dismiss	v.解散,开除
dismissal	n.免职,解雇
dismount	v.使...下马,下马
disobey	v.违反
disorder	n.杂乱,混乱v.扰乱
disparity	n.不一致
dispatch	v.派遣[计算机]分派
dispatcher	调度器,调度程序,分配器
dispel	v.驱散,驱逐
dispense	v.分发
disperse	v.分散,传播,散开
displace	v.移置,替换
displacement	n.换置,转位,移动[计算机]位移
display	n.显示,陈列,炫耀v.显示,表现,夸示
displease	v.使...不快
displeasure	n.不愉快(不高兴,生气)
disposal	n.处理,消除,销毁,处置n.弃菜碾碎器
dispose	v.处理,处置,销毁
disposed	a.有某种健康状态的,有...倾向的
disposition	n.性情,处置[计算机]配置情况
dispute	n.争论v.争论
disregard	n.忽视v.忽视,不顾
disrupt	a.分裂的,分散的v.使...分裂,使...瓦解
disruptive	a.捣乱的,破坏性的,制造混乱的
dissatisfaction	n.不满
dissatisfy	v.使感觉不满,不满足
dissector	析象管
disseminate	v.散播,传播,宣传
dissemination	传播,宣传,传染(病毒)
dissertation	n.论文
dissimilar	a.不同的
dissipate	vt.使...消散(浪费)
dissipation	损耗
dissolution	n.分解
dissolve	v.溶解,解散
distance	n.距离
distant	a.遥远的,远的
distend	v.扩大,扩张,吹大
distil	v.蒸馏,提取....的精华
distill	v.蒸馏,滴下
distillation	n.蒸馏
distinct	a.(from)独特的,不同的,明显的,清楚的
distinction	n.差别,不同,对比,区分,辨别
distinctive	a.有特色的,出众的
distinctly	ad.显然地,明显地,清楚地
distinguish	v.区别,辨别,表现突出
distinguished	a.卓著的v.区别vbl.区别
distort	v.扭曲
distortion	n.扭曲,变形,曲解
distract	v.转移,分心
distraction	n.娱乐,分心的事物,分心
distrain	n.为抵债而扣押
distress	n.苦恼,贫困v.使...苦恼
distribute	v.分配,散布
distributed	分布的,分布式的
distribution	n.分发,分配,散布,分布
distributor	经销商
district	n.区,地区,行政区v.区,区域,地区
disturb	v.扰乱,妨碍,使...不安
disturbance	n.扰乱,骚动
disturbing	a.烦扰的
disunite	v.使分离,不和
disuse	v.&n.废止
ditch	n.沟渠v.坠沟中
dither	n.抖,发抖,兴奋v.发抖
dithering	抖动
ditto	n.同上,同上符号,很相似的东西a.同样的,前项的ad.与前同地
diuretic	n.&a.利尿剂
dive	n.潜水,跳水v.跳水,俯冲
diver	n.潜水员
diverge	v.分歧
divergence	n.分歧n.散度（数学用语）
divergent	a.分歧的
diverse	a.不同的,相异的,多种多样的
diversion	n.转向,转移,娱乐活动
diversity	n.差异,多样性vt.使不同,使多样化
divert	v.转移
divide	v.除,分割,划分,隔开
dividend	n.红利,股息,彩金,被除数
divider	除法器
divine	a.神的,神圣的
divisibility	可除性,可约性
division	n.区分,分开,除法,公司,部门，师（军队里）
divisor	除数
divorce	n.离婚v.与...办离婚
dizziness	n.头昏眼花
dizzy	a.晕眩的
dna	脱氧核糖核酸
do	aux.助动词(无词意)v.干,做
dock	n.码头,船坞v.靠码头,入坞
doctor	n.医生v.医治
doctrine	n.教义,主义,学说;[古]教学,指导,指令指示;军事战略
document	n.文件,公文v.记载,用文件等证明[计算机]文档
documentary	a.文献的n.纪录片
documentation	n.文件
dodge	v.避开,躲避
dog	n.狗,卑鄙的人v.尾随,跟踪
doggedly	ad.固执地,顽强地
doing	v.做(那个东西)
dole	n.施舍品,失业救剂金
doll	n.玩具娃娃v.把...打扮得花技招展
dollar	n.美元
dolphin	n.海豚
domain	n.领域[计算机]域
dome	n.圆屋顶
domestic	a.国内的,家庭的,驯养的n.家仆,佣人
domesticate	v.养驯,使安于土地,教化
dominance	n.支配(控制,统治,权威,优势)
dominant	a.占优势的
dominate	v.支配,占优势
donate	v.捐赠
donation	n.捐赠物,捐款,捐赠
donkey	a.驴子n.驴
donor	n.捐赠人[计算机]施主
doom	n.命运,不幸,宣告,判决v.命中注定,宣告
door	n.门
doors	门点
doorway	n.门口
dorm	n.(集体)宿舍
dormant	a.睡眠状态的,静止的[计算机]静止的
dormitory	n.(集体)宿舍
dos	n.[计算机]磁盘操作系统DOS命令:在常规、扩展或保留内存中装入操作系统
dose	n.剂量,服用量v.配
dot	n.点,圆点,小孩子,小东西v.作小点记号,加小点于,点缀[计算机]点
double	n.两倍a.两倍的,双重的v.加倍的,快步走,加倍努力
doubling	n.加倍,双倍
doubt	n.怀疑,疑惑v.怀疑,不信
doubtful	a.可疑的,疑心的,不确的
doubtless	a.无疑的,确定的ad.无疑地,确定地
dough	n.生面团(揉好的陶土,捏塑体),浆糊
doughnut	n.油炸圈饼
dove	n.鸽子
down	a.向下的ad.向下n.绒毛,汗毛prep.沿着...而下
download	v.下载
downpour	n.倾盆大雨
downstairs	a.楼下的ad.在楼下n.楼下
downstream	ad.下游地a.下游的
downtown	n.市中心区,市中心a.市中心的ad.往闹区
downward	a.向下的ad.向下
downwards	ad.向下
doze	v.打瞌睡,假寐
dozen	n.(一)打,十二个
draft	n.草稿,草图,汇票v.起草,征兵
drag	n.拖,拖累v.拖累,拖拉,慢条斯理地走
dragon	n.龙
drain	n.下水道,排水沟,消耗v.耗尽,排出沟外
drainage	v.排水n.排水系统,污水
dram	动态随机访问存储器
drama	n.剧本,戏剧刺激的事情
dramatic	a.戏剧性的,引人注目的,给人深刻印象的n.(pl.)戏剧作品,戏曲
dramatically	ad.戏剧地,引人注目地从戏剧角度,显著地
dramatist	n.剧作家
dramatize	v.使戏剧化vt.把(小说等)改编成戏剧,渲染
drastic	a.激烈的,猛烈的
draw	v.(drew,drawn)拉,拖,挨近,提取,画,绘制
drawable	可拉的
drawback	n.不利点,退税
drawer	n.抽屉
drawing	n.绘图,图画
dread	n.恐惧,可怕的人,可怕的事a.可怕的,可怖的v.恐惧,害怕
dreaded	a.令人畏惧的
dreadful	a.可怕的
dream	n.梦v.做梦
dreary	a.沉闷的
drench	v.湿透
dress	n.女装,服装v.穿著
dressing	n.调味品,穿衣
drift	n.漂移,漂流物,观望,漂流,吹积物,趋势v.漂移,漂流,吹积
drill	n.钻孔机,钻子,播种机v.训练,钻孔
drilling	n.演练,钻孔
drink	n.饮料v.喝,喝酒
drip	n.滴,点滴,乏味的人,水滴v.滴下,漏水
drive	n.驾车,快车道,推进力,驱使v.开车,驱使,驾进力[计算机]驱动器n.路，街
driver	n.驾驶员,司机
driving	n.赶,操纵,驾驶a.推进的,强劲的,精力旺盛的vbl.骑
droop	v.下垂,消沉
drop	n.滴,微量,落下v.放下,掉下
droplet	n.小滴
dropout	n.中途退出者
drought	n.干旱
drown	v.淹死
drowse	v.&n.瞌睡
drudgery	n.苦差事,苦工
drug	n.药,麻药v.下药
drugstore	n.药房,杂货店
drum	n.鼓,鼓声v.击鼓,作鼓声
drunk	a.喝醉了的vbl.喝,喝酒
drunkard	n.酒鬼
dry	a.干的,枯燥无味的v.把...弄干,干掉
dryer	n.干衣机,干燥剂
dual	a.双重的
dub	v.配音,轻点
dubious	a.怀疑的,可疑的
duck	n.鸭子v.没入水中,闪避
due	n.应得物a.预定的,应付的,到期的,应有的
duke	n.公爵
dull	a.钝的,迟钝的,无趣的[计算机]暗淡的
duly	ad.的确,当然地,适当地
dumb	a.无言的,哑的
dummy	n.傀儡,假人,哑巴a.虚拟[计算机]伪的
dump	n.垃圾场v.倾卸,切断电源,倾倒
dumping	n.倾销
dung	n.粪(粘结物)vt上粪
dungeon	n.地牢,土牢
duodecimal	十二进位,十二进制的
duodenum	n.十二指肠
dupe	n.受骗的人,上当者vt.欺骗,愚弄
duplex	[计算机]双方的
duplicate	n.副本,复本,复制品a.复制的,二重的v.复制[计算机]复制
duplication	n.副本,复制
duplicator	复印机
durability	n.持久性(耐久性,耐用年限,寿命)
durable	a.耐久的n.耐用品
duration	n.持续,持久
during	prep.在...期间
dusk	n.黄昏
dust	n.灰尘,尘埃v.拂去灰尘
dustbin	n.垃圾箱
dusty	a.满是灰尘的
dutch	a.荷兰的n.荷兰人
duties	n.关税
duty	n.责任,职责
dwarf	n.矮子,侏儒
dwell	v.居住;细说;
dweller	n.居民
dwelling	n.住处
dwindle	v.减少,缩小
dye	n.染料,染色v.染,染色
dying	a.垂死的,临终的n.死,死亡
dynamic	a.动态的,有动力的,有力的
dynamical	a.动力的,电动的,有生气的
dynasty	n.朝代,王朝
dyne	n.达因(力的单位)
dyspepsia	n.消化不良
each	a.每个,每,每一ad.每个int.每个,个人,个自
eager	a.渴望的,热切的
eagerness	n.热心
eagle	n.鹰
ear	n.耳朵
earl	n.伯爵
early	ad.&a.早
earmark	n.耳上记号,特徵,记号v.在耳朵做记号,弄上记号,充作
earn	v.赚得,获得,博得
earnest	n.定金,诚挚,认真a.认真的,热心的,重要的
earnings	n.所得,收入
earphone	n.耳机
earth	n.地球
earthenware	n.陶器
earthly	a.地球的,俗世的,可能的
earthquake	n.地震
ease	n.安乐,安逸,悠闲v.使...安乐,使...安心,减轻,放松
easily	a.容易地,不费力地ad.容易地
east	a.东方的ad.向东方n.东,东方
easter	n.复活节
eastern	a.东部的,东方的
eastward	a.向东的ad.向东
eastwards	ad.&a.向东方(的),朝东(的)n.向东的方向
easy	a.容易的,安逸的,不费力的
eat	v.吃
ebb	n.退潮,衰退v.潮退,衰退
eccentric	n.怪人a.古怪的,反常的
eccentricity	n.古怪,古怪的行为,怪癖
echo	n.回声,回音,回波v.发回声,随声附和,摹仿n.[计算机]DOS命令:禁止(或允许)批处理命令行显示屏幕上
eclipse	n.日蚀,月蚀,衰落v.引起日蚀,引起月蚀,使...黯然失色
ecological	a.生态的,生态学的
ecology	n.生态学
economic	a.经济的,经济学的n.[-s]经济学(状况等)
economical	a.节俭的,经济的,合算的
economically	ad.经济地
economics	n.经济学
economize	v.节约,节省,有效地利用
economy	n.节约,经济
ecosystem	n.生态系统
ecstasy	n.狂喜
eddy	n.逆流,漩涡v.起漩涡
edge	n.边,边缘,优势v.侧身移动,挤进
edible	n.食品,食物a.可食用的
edit	v.编辑,编校,修订
editing	a.编辑的
edition	n.版,版本
editor	n.编辑,编者
editorial	n.社论a.编辑的
educate	v.教育,培养vt.教育
educated	a.受过教育的,有教养的
education	n.教育,培养
educational	a.教育的
educator	n.教育家
eeg	脑(动)电图描记器[缩]
eel	n.鳗鱼,鳝鱼
effect	n.结果,影响,效果v.招致,引起,完成
effective	a.有效的,有影响的
effectively	ad.有效地
effectiveness	n.效力
efficacious	a.有效的,灵验的
efficacy	n.功效,效力,（疗法、药物的）疗效
efficiency	a.有效的,生效的n.效率
efficient	a.效率高的,有能力的
efficiently	ad.有效地
effort	n.努力,努力的成果
egg	n.蛋;(俚语)人
eggplant	n.茄子
ego	n.自我
egypt	n.埃及
egyptian	a.埃及的n.埃及人
eigenvalue	特征值
eight	num.八pron.八(个,只...)
eighteen	num.十八
eighth	n.八分之一num.第八
eighty	num.&a.八十pron.八十(个,只...)
either	a.任一,两方的prep.任一,随便任一个conj.或,也
eject	v.逐放,放逐,驱逐
ejection	n.喷射
eke	vt.放长,增加
elaborate	a.精细的,详尽的,精心的v.详细地说明,用心地作,推敲
elaboration	n.苦心经营,精巧n.详细说明
elapse	v.逝去,过去
elapsed	经过
elastic	a.有弹性的n.橡皮圈
elasticity	n.弹力,弹性
elated	a.兴高采烈的
elbow	n.手肘,急弯,扶手v.用手肘推开,推挤
elder	a.年龄较大的,年长的n.长者,长辈
elderly	a.过了中年的,稍老的
eldest	a.最老的(最高级)
elect	n.当选人,被选的人,上帝的选民a.被选的,选出的v.选举,选择
election	n.选举
electric	a.电的
electrical	a.电的,电气科学的
electrician	n.电工
electricity	n.电
electrify	v.通电,上电,使感电
electrocardiograph	n.心(动)电图描记器
electromagnetic	a.电磁的
electron	n.电子
electronic	a.电子的n.[-s]电子学,电子设备
electronics	n.电子学
elegance	n.高雅,典雅,优雅
elegant	a.优雅的,精美的,俊美的
element	n.成分,要素,元素
elemental	a.元素的,基本的
elementary	a.初级的,基本的
elephant	n.大象
elevate	v.举起,提拔,鼓舞
elevation	n.海拔,提高[计算机]标高
elevator	电梯或飞机升降舵
eleven	num.十一pron.&a.十一(个,只...)
eleventh	num.&n.第十一
elicit	v.引出,抽出
eligible	a.可以选的,有资格的,合格的n.有资格者,合格者,适任者
eliminate	v.除去,排除,剔除[计算机]消除
elimination	n.除去,消除
elite	n.精华,精锐,中坚份子
ellipse	n.椭圆(形)
ellipsis	n.省略
elliptical	a.椭圆的
eloquence	n.雄辩,口才
eloquent	a.雄辩的,有口才的,动人的
else	a.别的ad.其他,另外
elsewhere	ad.在别处,到别处
elucidate	v.阐明,说明
elucidation	n.阐明,说明
elusive	a.难懂的,易忘的,难捉摸的
emancipate	v.释放,解放
emancipation	n.释放,解放
embargo	n.封港令,禁运
embark	v.乘船,着手,从事
embarrass	v.使...困窘,使...局促不安,阻碍
embarrassing	a.令人为难的(麻烦的)
embarrassment	n.困难,阻碍,困窘
embassy	n.大使馆
embed	v.使插入,使嵌入,深留[计算机]嵌入
embedded	a.植入的,内含的,深入的v.埋入,植入,深入vbl.埋入,植入,深入
embezzle	v.盗用,挪用
embody	v.具体表达,使具体化包含
embossment	凸起
embrace	n.拥抱v.拥抱,互相拥抱,包含
embroider	v.刺绣,镶边,装饰
embroidery	n.刺绣品,粉饰,刺绣
emerge	v.浮现,(由某种状态)脱出,(事实)显现出来
emergency	a.紧急的n.紧急情况,突发事件
emigrant	n.移民,侨民a.移民的,移居的
emigrate	v.移居,移民
emigration	n.移民
eminent	a.著名的,卓越的
emission	n.发射,射出,发行
emit	v.发出,放射,吐露[计算机]发射
emotion	n.情感,情绪
emotional	a.感情的,情绪的
emperor	n.皇帝
emphasis	n.强调,重点
emphasize	v.强调,着重vt.强调
emphatic	a.语调强的,用力的,强调了的
emphysema	n.肺气肿
empire	n.帝国
empirical	a.经验主义的
empirically	ad.经验主义地
empiricism	n.经验主义,经验论
employ	雇用,使用
employee	n.雇员
employer	n.雇主
employment	n.工作,职业,雇用,使用
emptiness	n.空虚,无知
empty	n.空的东西,空物a.空的,空虚的,空腹的v.倒空,使...空[计算机]空的
emulate	v.效法,尽力赶上[计算机]仿真
emulation	n.效法,竞争
emulator	仿真器
emulsion	感光乳剂,乳状液
enable	v.使...能够[计算机]使能
enabled	可激活的
encapsulate	v.装入胶囊,封进内部,压缩
encapsulation	n.封装,包装
encase	v.包围,装入箱内vt.把...装入箱中,包起
enchant	v.施魔法,使...迷惑
encipher	v.译成密码
encircle	v.环绕,包围vt.包围,环绕
enclose	v.围绕,放入封套,装[计算机]括入
enclosure	n.附件,围墙,围绕
encode	vt.编码
encoder	编码器
encounter	n.意外的相见,遭遇v.遇到,偶然碰到,遭遇
encourage	v.鼓励,激励,支持vt.鼓励
encouragement	n.鼓励
encrypt	加密
encryption	加密术
encyclopaedia	n.百科全书
encyclopedia	n.百科全书
end	n.结束,终点,目标v.结束,终结,终止
endanger	v.危及
endeavor	n.努力,尽力v.努力,尽力
endeavour	n.奋力号(航船的名字)
ending	n.结尾,结局
endless	a.无止境的,没完没了的
endnote	尾注
endocrine	a.内分泌的n.内分泌
endorse	v.支持,赞同,背书于
endorsee	n.被背书人
endorsement	n.支持,认可,背书
endow	v.捐赠,捐助,赋与
endpoint	端点
ends	冷凝物［液］
endurance	n.忍耐,忍耐力,耐性
endure	vt.耐久,忍耐,容忍,持久,持续
enemy	a.敌人的n.敌人
energetic	a.精力旺盛的
energy	n.活力,精力,能力,能,能量
enforce	v.厉行,强迫,执行
engage	v.答应,预定,使忙碌,雇佣,订婚
engaged	a.忙碌的,使用中的v.预订,约定,参与vbl.预订,约定,参与
engagement	n.诺言,约会,婚约
engine	n.发动机,引擎,机车,火车头
engineer	n.工程师v.设计,制造vt.操纵,设计,建造
engineering	n.工程(学),工程技术
england	n.英格兰,英国
english	a.英国的,英国人的n.英语
englishman	n.英国人
engrave	v.雕刻
engraving	n.雕刻,镌版术,雕版
engross	v.占去,使全神贯注
engulf	v.吞没
enhance	v.提高,加强,增加
enhancement	n.增强(提高,放大)
enjoy	v.享受,喜欢
enjoyable	a.有趣的,愉快的
enjoyment	n.享受
enlarge	v.扩大,增大
enlargement	n.扩大
enlighten	v.授与...知识,启发,启蒙
enlightening	a.有启迪作用的,使人感悟的
enormous	a.巨大的,庞大的
enough	a.足够的ad.足够地n.充足,足够pron.足够(的)
enquiry	n.询问
enrich	v.使富足,使肥沃
enrol	vt.登记(入会,卷)
enroll	v.登记,使加入
ensemble	n.全体,合唱曲,女人的全套服装
ensue	v.跟着发生,继起
ensure	v.确定,保证,担保
entail	v.使必需,使蒙受
entangle	v.使...纠缠,卷入,使...混乱
enter	v.进入,参加,开始[计算机]送入
enterprise	n.企业,事业
entertain	v.娱乐,招待,怀抱
entertainment	n.娱乐
enthusiasm	v.&n.热情,热心
enthusiast	n.热心人
enthusiastic	a.热情的,热心的
entire	a.全部的,整个的
entirely	ad.完全地
entirety	n.全部
entitle	v.取名为,给与名称,叫做,使有权利
entity	n.存在,实体
entrance	n.入口v.使出神,使入迷vt.使出神
entreat	v.恳求,乞求
entrepreneur	n.企业家
entropy	n.熵
entrust	v.信赖,信托,交托
entry	n.进入,入口,登记
enumerate	v.列举,计算,枚举[计算机]枚举
enumerator	计数器
envelop	v.包封,遮盖,包围
envelope	n.信封
envious	a.嫉妒的
environ	v.包围,环绕
environment	n.环境
environmental	a.环境的
envisage	v.面对,正视,想像
envy	v.嫉妒,羡慕n.妒忌,羡慕
enzyme	n.酶
ephedrine	n.麻黄碱,麻黄素
ephemeral	a.朝生暮死的,生命短暂的
epidemic	n.传染病,流行病a.流行的,传染性的
epilogue	n.结语,尾声,收场白
episode	n.插曲,插话,(作品的一段)情节,有趣的事件
epithelial	a.上皮的
epoch	n.(新)纪元,(新)时代
eprom	可擦可编程只读存储器
equal	n.对手,匹敌,同辈a.相等的,平等的,胜任的v.等于,比得上[计算机]相等
equality	n.同等,平等
equalization	均衡,均等
equalizer	均衡器
equally	ad.相等地,同样地,平等地
equation	n.方程(式),等式
equator	n.赤道
equilibrium	n.平衡,均衡
equip	v.装备,设,穿～
equipment	n.设备,装备
equitable	a.公平的,公正的
equity	n.权益，产权，股本；证券n.公平,公正
equivalence	n.相等,等值
equivalent	a.等价的,相等的n.相等物
equivocal	a.意义不明确的,模棱两可的
equivocation	模糊话
era	n.纪元,时代,年代
eradicate	v.根除,扑减,根绝
eradication	n.根除
erase	v.抹去,擦掉[计算机]擦除
eraser	n.橡皮擦
erasure	n.擦除,抹掉
erect	a.直立的,竖立的,笔直的v.竖立,使...直立,建筑
erection	n.直立,竖起,建筑物
ergonomics	人类工程学,人机工程学
erosion	n.腐蚀,侵蚀
err	v.犯错,做错,犯罪
errand	n.差使,差事
erratic	adj.无确定路线,不稳定的,奇怪的,游走的，移动的；偏离的，偏执的，固执的,无规律的,漂泊的,反复无常的,漂游的n.古怪的人,漂泊无定的人
erratum	勘误表
erroneous	a.错误的,不正确的
error	n.错误,过失
erupt	v.爆发
eruption	n.爆发,火山灰,出疹
erythrocyte	n.红细胞
escalate	v.扩大,升高,增强
escalation	扩大,增加
escalator	n.自动扶梯
escape	n.逃亡,避难设备v.逃脱,避开,溜走[计算机]换码
escort	n.护送者,护卫者,护航舰v.护卫,护送
esophagus	n.食道
esoteric	a.秘传的
especial	a.特别的,特殊的
especially	ad.特别,尤其
essay	n.短文,散文
essayist	n.散文作家
essence	n.本质,精髓
essential	n.要素,要点a.必要的,重要的,本质的
essentially	ad.本质上,本来
establish	v.建立,确立,创办
established	a.确定的(建成的,建立的,被制定的)v.建立(制定,证实)
establishment	n.确立,制定,设施
estate	n.财产,房地产
esteem	n.尊敬v.尊敬,尊重
esthetic	a.审美的
estimate	n.估计,估价v.估计,估价,评价
estimation	n.判断,估计,尊重
eternal	a.永久的,永恒的
ether	n.乙醚,醚
ethernet	以太网
ethnic	a.民族的，种族的某文化群体的（典型的）
ethos	n.民族精神,社会思潮,风气
etiquette	n.礼仪,礼节,成规
europe	n.欧洲
european	a.欧洲的n.欧洲人
evacuate	v.疏散,撤出,排泄
